	% cytosine covered	Estimated mCG/CG	Estimated mCH/CH	Layer	Non-clonal reads	Sample	mCCC/CCC	mCG/CG	mCH/CH	sample_order
0	3.53	0.7348	0.01989	All	897311.0	nuclei-261_S1_L001	0.00592	0.73637	0.025689999999999998	0
1	2.33	0.77186	0.01731	All	582630.0	nuclei-262_S2_L001	0.0055899999999999995	0.7731399999999999	0.0228	1
2	3.01	0.759	0.01545	All	757952.0	nuclei-263_S3_L001	0.00545	0.76031	0.020819999999999998	2
3	2.48	0.7511	0.016390000000000002	All	622318.0	nuclei-264_S4_L001	0.0055	0.75247	0.0218	3
4	2.92	0.73929	0.01169	All	734559.0	nuclei-265_S5_L001	0.00481	0.74054	0.01644	4
5	2.93	0.76627	0.01811	All	736458.0	nuclei-266_S6_L001	0.0060799999999999995	0.76769	0.02408	5
6	2.82	0.77323	0.02011	All	709329.0	nuclei-267_S7_L001	0.00588	0.77456	0.025869999999999997	6
7	2.75	0.766	0.02109	All	694093.0	nuclei-268_S8_L001	0.00615	0.76744	0.027110000000000002	7
8	3.72	0.7442300000000001	0.01768	All	919110.0	nuclei-269_S9_L001	0.00566	0.74568	0.02324	8
9	3.27	0.7734300000000001	0.01872	All	791108.0	nuclei-270_S10_L001	0.00591	0.77477	0.02452	9
10	3.23	0.75679	0.013330000000000002	All	785116.0	nuclei-271_S11_L001	0.00513	0.7580399999999999	0.01839	10
11	3.31	0.77151	0.01817	All	803934.0	nuclei-272_S12_L001	0.00603	0.77289	0.02409	11
12	3.45	0.74759	0.01942	All	842903.0	nuclei-273_S13_L001	0.00604	0.74911	0.02534	12
13	3.57	0.7568699999999999	0.015580000000000002	All	870401.0	nuclei-274_S14_L001	0.00671	0.7585	0.02219	13
14	3.23	0.7550899999999999	0.02344	All	786418.0	nuclei-275_S15_L001	0.006409999999999999	0.75666	0.0297	14
15	3.23	0.75412	0.01952	All	792409.0	nuclei-276_S16_L001	0.0060799999999999995	0.75561	0.025480000000000003	15
16	3.71	0.74217	0.01574	All	910013.0	nuclei-277_S17_L001	0.00524	0.74352	0.0209	16
17	2.95	0.74595	0.01835	All	718611.0	nuclei-278_S18_L001	0.00592	0.74745	0.02416	17
18	3.27	0.76453	0.01252	All	796577.0	nuclei-279_S19_L001	0.00492	0.76569	0.01738	18
19	2.79	0.78087	0.0201	All	677356.0	nuclei-280_S20_L001	0.00605	0.7822	0.02603	19
20	3.17	0.76426	0.01829	All	772046.0	nuclei-281_S21_L001	0.00584	0.76564	0.02402	20
21	3.28	0.75926	0.019219999999999998	All	799464.0	nuclei-282_S22_L001	0.00576	0.76065	0.02487	21
22	3.19	0.75372	0.016909999999999998	All	775895.0	nuclei-283_S23_L001	0.00564	0.7551100000000001	0.02245	22
23	3.02	0.75363	0.015319999999999999	All	734531.0	nuclei-284_S24_L001	0.00518	0.7549100000000001	0.020419999999999997	23
24	2.48	0.7649699999999999	0.02883	All	606536.0	nuclei-285_S25_L001	0.007790000000000001	0.7668	0.0364	24
25	1.92	0.77289	0.020819999999999998	All	467340.0	nuclei-286_S26_L001	0.00656	0.7743800000000001	0.027239999999999997	25
26	2.22	0.77468	0.016309999999999998	All	543215.0	nuclei-287_S27_L001	0.00549	0.7759199999999999	0.02171	26
27	1.99	0.79642	0.02143	All	482891.0	nuclei-288_S28_L001	0.00647	0.79774	0.027760000000000003	27
28	1.82	0.78447	0.01796	All	442345.0	nuclei-289_S29_L001	0.00627	0.78582	0.02412	28
29	2.38	0.76098	0.01768	All	581742.0	nuclei-290_S30_L001	0.00606	0.76243	0.02363	29
30	1.98	0.76072	0.01955	All	484801.0	nuclei-291_S31_L001	0.00618	0.7622	0.02561	30
31	2.38	0.75132	0.01519	All	583021.0	nuclei-292_S32_L001	0.00535	0.75265	0.02046	31
32	3.81	0.75835	0.01839	All	931460.0	nuclei-293_S33_L001	0.00584	0.75976	0.02412	32
33	2.41	0.77173	0.01625	All	581209.0	nuclei-294_S34_L001	0.00575	0.77304	0.02191	33
34	2.65	0.81329	0.0202	All	641220.0	nuclei-295_S35_L001	0.00629	0.8144600000000001	0.02636	34
35	2.32	0.76885	0.020730000000000002	All	556939.0	nuclei-296_S36_L001	0.00609	0.7702600000000001	0.02669	35
36	2.66	0.73406	0.018580000000000003	All	643728.0	nuclei-297_S37_L001	0.006	0.7356600000000001	0.02447	36
37	2.54	0.75455	0.015130000000000001	All	612793.0	nuclei-298_S38_L001	0.005370000000000001	0.7558699999999999	0.020419999999999997	37
38	2.27	0.73249	0.016730000000000002	All	549454.0	nuclei-299_S39_L001	0.0054600000000000004	0.73395	0.0221	38
39	2.63	0.72731	0.01142	All	638950.0	nuclei-300_S40_L001	0.00487	0.72864	0.01623	39
40	4.86	0.76398	0.0169	All	1201688.0	nuclei-301_S41_L001	0.00558	0.7653	0.02239	40
41	2.71	0.77222	0.01594	All	658373.0	nuclei-302_S42_L001	0.0055	0.77347	0.02135	41
42	3.4	0.76381	0.01646	All	835169.0	nuclei-303_S43_L001	0.00564	0.7651399999999999	0.02201	42
43	3.38	0.7851600000000001	0.02187	All	818876.0	nuclei-304_S44_L001	0.006659999999999999	0.78659	0.028380000000000002	43
44	3.6	0.73916	0.012459999999999999	All	880893.0	nuclei-305_S45_L001	0.005	0.74046	0.0174	44
45	3.64	0.776	0.01819	All	887849.0	nuclei-306_S46_L001	0.00955	0.7781399999999999	0.027569999999999997	45
46	3.91	0.7774300000000001	0.01816	All	957139.0	nuclei-307_S47_L001	0.006220000000000001	0.77881	0.02427	46
47	3.2	0.7366699999999999	0.01649	All	778474.0	nuclei-308_S48_L001	0.00556	0.7381300000000001	0.02196	47
48	4.44	0.7569600000000001	0.024630000000000003	All	1103501.0	nuclei-309_S49_L002	0.00701	0.75866	0.03147	48
49	3.12	0.75721	0.015590000000000001	All	760100.0	nuclei-310_S50_L002	0.005529999999999999	0.75855	0.02103	49
50	3.85	0.76741	0.0191	All	944148.0	nuclei-311_S51_L002	0.0059	0.76878	0.02489	50
51	3.54	0.7787	0.01339	All	864195.0	nuclei-312_S52_L002	0.00512	0.77983	0.01844	51
52	3.13	0.75713	0.0187	All	761616.0	nuclei-313_S53_L002	0.00588	0.75856	0.02447	52
53	3.2	0.77266	0.02095	All	775696.0	nuclei-314_S54_L002	0.006220000000000001	0.77407	0.027039999999999998	53
